tema,titulo,link
economia,Lote extra do abono salarial PIS/Pasep: quem tem direito? Como consultar o valor liberado?,https://g1.globo.com/economia/video/lote-extra-do-abono-salarial-pispasep-quem-tem-direito-como-consultar-o-valor-liberado-14020971.ghtml
economia,Lote extra do abono salarial PIS/Pasep: quem tem direito? Como consultar o valor liberado?,https://g1.globo.com/economia/video/lote-extra-do-abono-salarial-pispasep-quem-tem-direito-como-consultar-o-valor-liberado-14021096.ghtml
economia,Secretário de Tesouro dos EUA anuncia novas intervenções para apoiar peso: 'Make Argentina Great Again',https://g1.globo.com/economia/noticia/2025/10/17/secretario-de-tesouro-dos-eua-anuncia-novas-intervencoes-para-apoiar-peso-argentino.ghtml
economia,Bolsa Família 2025: pagamentos de outubro começam na próxima semana; saiba se tem direito,https://g1.globo.com/economia/noticia/2025/10/17/bolsa-familia-2025-pagamentos-de-outubro-calendario.ghtml
economia,INSS suspende acordo com quatro bancos para empréstimos consignados,https://g1.globo.com/economia/noticia/2025/10/17/inss-suspende-acordo-com-quatro-bancos-para-emprestimos-consignados.ghtml
economia,"Plataformas digitais empregaram 1,7 milhão de trabalhadores com renda acima da média em 2024, diz IBGE",https://g1.globo.com/trabalho-e-carreira/noticia/2025/10/17/plataformas-digitais-empregaram-17-milhao-de-trabalhadores-com-renda-acima-da-media-em-2024-diz-ibge.ghtml
economia,Trump diz que tarifa de 100% à China não é sustentável e deve se reunir com Xi; Pequim acusa EUA na OMC,https://g1.globo.com/economia/noticia/2025/10/17/china-eua-tensao-comercial-omc-xi-jinping.ghtml
politica,INSS suspende acordo com quatro bancos para empréstimos consignados,https://g1.globo.com/economia/noticia/2025/10/17/inss-suspende-acordo-com-quatro-bancos-para-emprestimos-consignados.ghtml
politica,Equipe de Lula destaca ‘encontro muito melhor do que o imaginado’ entre Mauro Vieira e Marco Rubio,https://g1.globo.com/politica/blog/valdo-cruz/post/2025/10/17/equipe-de-lula-destaca-encontro-muito-melhor-do-que-o-imaginado-entre-mauro-vieira-e-marco-rubio.ghtml
politica,"Brasil deveria ter 'Petrobras das bebidas alcoólicas' para garantir qualidade após crise do metanol, diz professor da USP",https://g1.globo.com/economia/noticia/2025/10/17/brasil-deveria-ter-petrobras-das-bebidas-alcoolicas-para-garantir-qualidade-apos-crise-do-metanol-diz-professor-da-usp.ghtml
politica,"Mauro Vieira e Marco Rubio trocaram telefones e terão 'canal direto', assim como Trump e Lula",https://g1.globo.com/politica/noticia/2025/10/17/mauro-vieira-e-marco-rubio-definiram-que-tambem-terao-canal-direto-entre-os-dois.ghtml
politica,Caso metanol: STF julga a partir desta sexta ação que discute reativar sistema de controle de produção de bebidas,https://g1.globo.com/politica/noticia/2025/10/17/caso-metanol-stf-julga-a-partir-desta-sexta-acao-que-discute-reativar-sistema-de-controle-de-producao-de-bebidas.ghtml
